n_detections,time_diff,time_created
4,1.0944254398345947,1732904403.3267813
4,0.5376663208007812,1732904403.8644476
3,0.536841630935669,1732904404.4012892
3,0.5174877643585205,1732904404.918777
7,0.5186915397644043,1732904405.4374685
29,0.5193517208099365,1732904405.9568202
4,0.5169970989227295,1732904406.4738173
1,0.5169398784637451,1732904406.9907572
2,0.5171780586242676,1732904407.5079353
1,0.5170786380767822,1732904408.025014
1,0.5373568534851074,1732904408.5623708
1,0.5173757076263428,1732904409.0797465
10,0.5182607173919678,1732904409.5980072
4,0.5360090732574463,1732904410.1340163
2,0.5178732872009277,1732904410.6518896
1,0.5173821449279785,1732904411.1692717
12,0.516942024230957,1732904411.6862137
3,0.5187258720397949,1732904412.2049396
1,0.5173814296722412,1732904412.722321
6,0.5369255542755127,1732904413.2592466
4,0.5184261798858643,1732904413.7776728
5,0.5371556282043457,1732904414.3148284
1,0.5177955627441406,1732904414.832624
2,0.5169229507446289,1732904415.349547
11,0.5175244808197021,1732904415.8670714
2,0.518665075302124,1732904416.3857365
1,0.5174260139465332,1732904416.9031625
51,0.517880916595459,1732904417.4210434
38,0.5175681114196777,1732904417.9386115
7,0.5170400142669678,1732904418.4556515
46,0.5178349018096924,1732904418.9734864
3,0.5180861949920654,1732904419.4915726
79,0.5172271728515625,1732904420.0087998
23,0.5183594226837158,1732904420.5271592
14,0.5178449153900146,1732904421.0450041
7,0.5178210735321045,1732904421.5628252
6,0.5172667503356934,1732904422.080092
15,0.5175740718841553,1732904422.597666
1,0.5163729190826416,1732904423.114039
55,0.5185415744781494,1732904423.6325805
6,0.5175886154174805,1732904424.1501691
2,0.5173747539520264,1732904424.667544
9,0.5177822113037109,1732904425.185326
3,0.522871732711792,1732904425.7081978
31,0.5182878971099854,1732904426.2264857
1,0.5171735286712646,1732904426.7436593
3,0.5168411731719971,1732904427.2605004
3,0.5376312732696533,1732904427.7981317
17,0.5175023078918457,1732904428.315634
3,0.520104169845581,1732904428.8357382
9,0.5187468528747559,1732904429.354485
3,0.5171458721160889,1732904429.871631
15,0.5179109573364258,1732904430.3895419
4,0.5186822414398193,1732904430.908224
15,0.5175156593322754,1732904431.4257398
3,0.517197847366333,1732904431.9429376
17,0.5212428569793701,1732904432.4641805
8,0.5200583934783936,1732904432.9842389
22,0.5213546752929688,1732904433.5055935
29,0.516521692276001,1732904434.0221152
21,0.5189182758331299,1732904434.5410335
6,0.517899751663208,1732904435.0589333
1,0.5386431217193604,1732904435.5975764
4,0.5182666778564453,1732904436.115843
8,0.5173611640930176,1732904436.6332042
6,0.5212335586547852,1732904437.1544378
66,0.5367729663848877,1732904437.6912107
5,0.5213108062744141,1732904438.2125216
4,0.5213708877563477,1732904438.7338924
3,0.5191655158996582,1732904439.253058
4,0.5173854827880859,1732904439.7704434
5,0.5184516906738281,1732904440.2888951
3,0.5161480903625488,1732904440.8050432
25,0.5183827877044678,1732904441.323426
4,0.5160820484161377,1732904441.839508
4,0.52093505859375,1732904442.360443
3,0.5190470218658447,1732904442.8794901
13,0.5182397365570068,1732904443.3977299
10,0.5181295871734619,1732904443.9158595
2,0.5174896717071533,1732904444.4333491
11,0.5364205837249756,1732904444.9697697
10,0.5185465812683105,1732904445.4883163
3,0.5222640037536621,1732904446.0105803
2,0.5175774097442627,1732904446.5281577
18,0.5172379016876221,1732904447.0453956
3,0.5203206539154053,1732904447.5657163
12,0.5178911685943604,1732904448.0836074
3,0.519939661026001,1732904448.603547
8,0.5188543796539307,1732904449.1224015
2,0.5181305408477783,1732904449.640532
2,0.5176129341125488,1732904450.158145
34,0.5185744762420654,1732904450.6767194
39,0.5173976421356201,1732904451.194117
9,0.5182404518127441,1732904451.7123575
11,0.5178196430206299,1732904452.2301772
17,0.5171551704406738,1732904452.7473323
6,0.5180354118347168,1732904453.2653677
1,0.5188314914703369,1732904453.7841992
5,0.5178532600402832,1732904454.3020525
4,0.5196895599365234,1732904454.821742
