n_detections,time_diff,time_created
3,1.0041427612304688,1732491443.2166326
4,0.5316550731658936,1732491443.7482877
2,0.532334566116333,1732491444.2806222
3,0.5059552192687988,1732491444.7865775
2,0.506101131439209,1732491445.2926786
7,0.5062639713287354,1732491445.7989426
2,0.5057151317596436,1732491446.3046577
1,0.5057070255279541,1732491446.8103647
1,0.5056595802307129,1732491447.3160243
1,0.5057799816131592,1732491447.8218043
1,0.5319311618804932,1732491448.3537354
1,0.506110668182373,1732491448.859846
2,0.5058112144470215,1732491449.3656573
2,0.5319738388061523,1732491449.8976312
2,0.506150484085083,1732491450.4037817
1,0.5062050819396973,1732491450.9099867
4,0.5055582523345947,1732491451.415545
2,0.5053994655609131,1732491451.9209445
1,0.5058722496032715,1732491452.4268167
3,0.5312480926513672,1732491452.9580648
1,0.5058732032775879,1732491453.463938
3,0.5328567028045654,1732491453.9967947
1,0.5059270858764648,1732491454.5027218
1,0.506040096282959,1732491455.008762
6,0.5051352977752686,1732491455.5138972
2,0.5059614181518555,1732491456.0198586
1,0.5059871673583984,1732491456.5258458
9,0.5059013366699219,1732491457.031747
4,0.5056815147399902,1732491457.5374286
1,0.5053524971008301,1732491458.042781
2,0.5058023929595947,1732491458.5485835
2,0.5056486129760742,1732491459.0542321
14,0.5061502456665039,1732491459.5603824
8,0.5061733722686768,1732491460.0665557
5,0.505638837814331,1732491460.5721946
3,0.505272626876831,1732491461.0774672
1,0.505856990814209,1732491461.5833242
5,0.5060470104217529,1732491462.0893712
1,0.505242109298706,1732491462.5946133
1,0.5061578750610352,1732491463.1007712
2,0.5057621002197266,1732491463.6065333
2,0.5057382583618164,1732491464.1122715
1,0.5053577423095703,1732491464.6176293
1,0.5064268112182617,1732491465.124056
10,0.5090851783752441,1732491465.6331413
1,0.510371208190918,1732491466.1435125
2,0.5081300735473633,1732491466.6516426
2,0.5320389270782471,1732491467.1836815
2,0.5057656764984131,1732491467.6894472
1,0.5055851936340332,1732491468.1950324
2,0.5055992603302002,1732491468.7006316
2,0.5055375099182129,1732491469.2061691
5,0.5060455799102783,1732491469.7122147
2,0.5058119297027588,1732491470.2180266
2,0.5056600570678711,1732491470.7236867
2,0.5056257247924805,1732491471.2293124
3,0.5062966346740723,1732491471.735609
3,0.5057375431060791,1732491472.2413466
3,0.5062172412872314,1732491472.7475638
2,0.5069108009338379,1732491473.2544746
5,0.5066370964050293,1732491473.7611117
3,0.5057568550109863,1732491474.2668686
1,0.5313131809234619,1732491474.7981818
1,0.5058002471923828,1732491475.303982
1,0.5059244632720947,1732491475.8099065
2,0.5059237480163574,1732491476.3158302
5,0.5309579372406006,1732491476.8467882
1,0.5057802200317383,1732491477.3525684
1,0.5056273937225342,1732491477.8581958
1,0.5058712959289551,1732491478.364067
2,0.505927562713623,1732491478.8699946
1,0.5058419704437256,1732491479.3758366
1,0.5054264068603516,1732491479.881263
10,0.5057692527770996,1732491480.3870323
3,0.5051517486572266,1732491480.892184
2,0.5058372020721436,1732491481.3980212
0,0.5053491592407227,1732491481.9033704
2,0.5057291984558105,1732491482.4090996
5,0.5055372714996338,1732491482.9146369
2,0.505685567855835,1732491483.4203224
4,0.5311319828033447,1732491483.9514544
1,0.5060207843780518,1732491484.4574752
2,0.5064003467559814,1732491484.9638755
2,0.5058352947235107,1732491485.4697108
1,0.5057063102722168,1732491485.9754171
2,0.5060057640075684,1732491486.481423
7,0.5057253837585449,1732491486.9871483
1,0.5058102607727051,1732491487.4929585
1,0.5058567523956299,1732491487.9988153
2,0.5055830478668213,1732491488.5043983
1,0.5058541297912598,1732491489.0102525
3,0.5054464340209961,1732491489.515699
3,0.5059864521026611,1732491490.0216854
3,0.5059256553649902,1732491490.527611
1,0.5055983066558838,1732491491.0332093
1,0.5055809020996094,1732491491.5387902
2,0.5058140754699707,1732491492.0446043
1,0.5060815811157227,1732491492.550686
3,0.5062308311462402,1732491493.0569167
3,0.5056941509246826,1732491493.5626109
