n_detections,time_diff,time_created
24,0.77951979637146,1732518288.7932925
6,0.5426437854766846,1732518289.3359363
9,0.5391554832458496,1732518289.8750918
3,0.5384278297424316,1732518290.4135196
8,0.5384483337402344,1732518290.951968
184,0.5387818813323975,1732518291.4907498
4,0.5380027294158936,1732518292.0287526
2,0.5386748313903809,1732518292.5674274
2,0.5388450622558594,1732518293.1062725
6,0.5385305881500244,1732518293.644803
5,0.5386481285095215,1732518294.1834512
1,0.5382382869720459,1732518294.7216895
81,0.5386888980865479,1732518295.2603784
6,0.539527416229248,1732518295.7999058
2,0.5388467311859131,1732518296.3387525
1,0.5389096736907959,1732518296.8776622
49,0.539684534072876,1732518297.4173467
14,0.5387086868286133,1732518297.9560554
1,0.5389459133148193,1732518298.4950013
10,0.5385615825653076,1732518299.033563
19,0.539118766784668,1732518299.5726817
5,0.5386033058166504,1732518300.111285
2,0.538724422454834,1732518300.6500094
3,0.5388829708099365,1732518301.1888924
41,0.5387399196624756,1732518301.7276323
3,0.5392687320709229,1732518302.266901
4,0.5391190052032471,1732518302.80602
238,0.538426399230957,1732518303.3444464
191,0.5381824970245361,1732518303.882629
45,0.5382204055786133,1732518304.4208493
200,0.5391745567321777,1732518304.9600239
2,0.5388503074645996,1732518305.4988742
300,0.5393786430358887,1732518306.0382528
151,0.5390970706939697,1732518306.57735
57,0.5391101837158203,1732518307.11646
17,0.5389032363891602,1732518307.6553633
91,0.5387489795684814,1732518308.1941123
61,0.5388870239257812,1732518308.7329993
2,0.5387468338012695,1732518309.2717462
253,0.5391690731048584,1732518309.8109152
53,0.5385072231292725,1732518310.3494225
2,0.5388026237487793,1732518310.888225
23,0.5408365726470947,1732518311.4290617
3,0.5381052494049072,1732518311.967167
211,0.5394527912139893,1732518312.5066197
1,0.5380203723907471,1732518313.04464
17,0.5391886234283447,1732518313.5838287
12,0.5384328365325928,1732518314.1222615
81,0.5389652252197266,1732518314.6612267
18,0.5388467311859131,1732518315.2000735
46,0.5402431488037109,1732518315.7403166
15,0.539940595626831,1732518316.2802572
73,0.539013147354126,1732518316.8192704
19,0.5387599468231201,1732518317.3580303
85,0.5387310981750488,1732518317.8967614
4,0.5385036468505859,1732518318.435265
55,0.538799524307251,1732518318.9740646
31,0.5398972034454346,1732518319.5139618
90,0.5391285419464111,1732518320.0530903
152,0.539222240447998,1732518320.5923126
66,0.538485050201416,1732518321.1307976
18,0.5392920970916748,1732518321.6700897
1,0.5389785766601562,1732518322.2090683
32,0.5387301445007324,1732518322.7477984
55,0.5387630462646484,1732518323.2865615
62,0.539013147354126,1732518323.8255746
150,0.5387423038482666,1732518324.364317
6,0.5381994247436523,1732518324.9025164
1,0.5402040481567383,1732518325.4427204
2,0.5388875007629395,1732518325.981608
10,0.5391418933868408,1732518326.5207498
34,0.5386874675750732,1732518327.0594373
29,0.5394654273986816,1732518327.5989027
51,0.5392100811004639,1732518328.1381128
3,0.538964033126831,1732518328.6770768
8,0.5391025543212891,1732518329.2161794
15,0.5387163162231445,1732518329.7548957
45,0.5396182537078857,1732518330.294514
124,0.5395698547363281,1732518330.8340838
4,0.5385141372680664,1732518331.372598
64,0.5389041900634766,1732518331.9115021
79,0.5390503406524658,1732518332.4505525
8,0.5390329360961914,1732518332.9895854
9,0.5383727550506592,1732518333.5279582
163,0.539252519607544,1732518334.0672107
4,0.5394623279571533,1732518334.606673
63,0.5393133163452148,1732518335.1459863
2,0.5388364791870117,1732518335.6848228
33,0.5397453308105469,1732518336.2245681
3,0.538921594619751,1732518336.7634897
14,0.5392210483551025,1732518337.3027108
230,0.5391700267791748,1732518337.8418808
267,0.5386803150177002,1732518338.380561
41,0.5392422676086426,1732518338.9198034
31,0.5396416187286377,1732518339.459445
122,0.5392706394195557,1732518339.9987156
9,0.5391712188720703,1732518340.5378869
2,0.5386960506439209,1732518341.076583
3,0.5390622615814209,1732518341.6156452
4,0.5396008491516113,1732518342.155246
