n_detections,time_diff,time_created
2,0.7802114486694336,1732518772.5490198
2,0.5423929691314697,1732518773.0914128
1,0.5382471084594727,1732518773.62966
1,0.5384800434112549,1732518774.16814
2,0.5381948947906494,1732518774.7063348
6,0.5381028652191162,1732518775.2444377
1,0.5382449626922607,1732518775.7826827
1,0.5379276275634766,1732518776.3206103
1,0.5385339260101318,1732518776.8591442
1,0.5386490821838379,1732518777.3977933
1,0.5387556552886963,1732518777.936549
1,0.5387399196624756,1732518778.4752889
0,0.538367509841919,1732518779.0136564
2,0.5401020050048828,1732518779.5537584
2,0.5388505458831787,1732518780.092609
1,0.5387170314788818,1732518780.631326
4,0.539177656173706,1732518781.1705036
2,0.5382997989654541,1732518781.7088034
1,0.5387234687805176,1732518782.247527
5,0.5385656356811523,1732518782.7860925
1,0.538585901260376,1732518783.3246784
2,0.5384714603424072,1732518783.86315
1,0.5387084484100342,1732518784.4018583
1,0.5382325649261475,1732518784.940091
3,0.5385298728942871,1732518785.4786208
2,0.5387880802154541,1732518786.0174088
0,0.5388734340667725,1732518786.5562823
2,0.5389404296875,1732518787.0952227
6,0.5386760234832764,1732518787.6338987
1,0.5385828018188477,1732518788.1724815
0,0.538386344909668,1732518788.710868
2,0.5388882160186768,1732518789.249756
6,0.5384376049041748,1732518789.7881937
6,0.5386049747467041,1732518790.3267987
2,0.5385456085205078,1732518790.8653443
1,0.5387763977050781,1732518791.4041207
1,0.5386574268341064,1732518791.942778
4,0.5385563373565674,1732518792.4813344
1,0.5384271144866943,1732518793.0197616
0,0.5386505126953125,1732518793.558412
0,0.5386917591094971,1732518794.0971038
2,0.538435697555542,1732518794.6355395
1,0.539649248123169,1732518795.1751888
2,0.5377638339996338,1732518795.7129526
5,0.5392053127288818,1732518796.252158
1,0.5381529331207275,1732518796.7903109
2,0.5386841297149658,1732518797.328995
1,0.538330078125,1732518797.867325
2,0.5383968353271484,1732518798.405722
1,0.5391387939453125,1732518798.9448607
3,0.5396769046783447,1732518799.4845376
1,0.5393304824829102,1732518800.023868
2,0.5384664535522461,1732518800.5623345
1,0.538421630859375,1732518801.1007562
3,0.5389003753662109,1732518801.6396565
1,0.5387821197509766,1732518802.1784387
0,0.5386350154876709,1732518802.7170737
0,0.5396697521209717,1732518803.2567434
2,0.5386650562286377,1732518803.7954085
0,0.5389430522918701,1732518804.3343515
3,0.538323163986206,1732518804.8726747
4,0.5392639636993408,1732518805.4119387
1,0.5383286476135254,1732518805.9502673
1,0.5385510921478271,1732518806.4888184
1,0.5386965274810791,1732518807.027515
2,0.5394725799560547,1732518807.5669875
0,0.5387005805969238,1732518808.105688
2,0.5392601490020752,1732518808.6449482
1,0.5397520065307617,1732518809.1847003
1,0.5388269424438477,1732518809.7235272
1,0.5384018421173096,1732518810.261929
0,0.5382826328277588,1732518810.8002117
1,0.5399925708770752,1732518811.3402042
6,0.540734052658081,1732518811.8809383
3,0.5386970043182373,1732518812.4196353
2,0.5388002395629883,1732518812.9584355
0,0.5389926433563232,1732518813.4974282
0,0.5393044948577881,1732518814.0367327
3,0.5396106243133545,1732518814.5763433
2,0.5386743545532227,1732518815.1150177
3,0.5386919975280762,1732518815.6537097
0,0.5386605262756348,1732518816.1923702
1,0.5392706394195557,1732518816.7316408
2,0.5387089252471924,1732518817.2703497
0,0.5387387275695801,1732518817.8090885
2,0.5391948223114014,1732518818.3482833
0,0.5388104915618896,1732518818.8870938
1,0.5390100479125977,1732518819.4261038
1,0.5384190082550049,1732518819.9645228
1,0.5389509201049805,1732518820.5034738
1,0.5388774871826172,1732518821.0423512
2,0.5392193794250488,1732518821.5815706
0,0.5387928485870361,1732518822.1203635
2,0.5395605564117432,1732518822.659924
1,0.5395755767822266,1732518823.1994996
0,0.5387771129608154,1732518823.7382767
2,0.539391040802002,1732518824.2776678
1,0.538585901260376,1732518824.8162537
3,0.5387182235717773,1732518825.354972
3,0.5386908054351807,1732518825.8936627
