n_detections,time_diff,time_created
6,1.0238983631134033,1732550810.7901962
4,0.5306062698364258,1732550811.3208025
2,0.53074049949646,1732550811.851543
3,0.5076744556427002,1732550812.3592174
5,0.508047342300415,1732550812.8672647
14,0.5076372623443604,1732550813.374902
4,0.5074241161346436,1732550813.8823261
1,0.5076830387115479,1732550814.3900092
6,0.5074574947357178,1732550814.8974667
1,0.5074658393859863,1732550815.4049325
1,0.5305333137512207,1732550815.9354658
1,0.5077865123748779,1732550816.4432523
4,0.5077855587005615,1732550816.951038
3,0.530613899230957,1732550817.4816518
2,0.5080893039703369,1732550817.989741
1,0.5078682899475098,1732550818.4976094
9,0.5076189041137695,1732550819.0052283
2,0.5079855918884277,1732550819.5132139
1,0.507542610168457,1732550820.0207565
6,0.5301048755645752,1732550820.5508614
3,0.5084404945373535,1732550821.0593019
4,0.5311379432678223,1732550821.5904398
1,0.507906436920166,1732550822.0983462
2,0.5075182914733887,1732550822.6058645
6,0.5073976516723633,1732550823.1132622
2,0.5080387592315674,1732550823.621301
1,0.5077729225158691,1732550824.1290739
25,0.5079348087310791,1732550824.6370087
16,0.5077545642852783,1732550825.1447632
6,0.5076136589050293,1732550825.652377
13,0.5081136226654053,1732550826.1604905
2,0.5075972080230713,1732550826.6680877
44,0.507615327835083,1732550827.175703
18,0.5079374313354492,1732550827.6836405
7,0.5077197551727295,1732550828.1913602
4,0.5075767040252686,1732550828.698937
6,0.5072872638702393,1732550829.2062242
7,0.5076279640197754,1732550829.7138522
1,0.507169246673584,1732550830.2210214
20,0.5081484317779541,1732550830.7291698
6,0.5077652931213379,1732550831.2369351
2,0.5076310634613037,1732550831.7445662
5,0.5079174041748047,1732550832.2524836
3,0.5098385810852051,1732550832.7623222
25,0.5081307888031006,1732550833.270453
1,0.5075297355651855,1732550833.7779827
2,0.507469892501831,1732550834.2854526
3,0.5305874347686768,1732550834.81604
8,0.5078930854797363,1732550835.3239331
2,0.5075674057006836,1732550835.8315005
8,0.5076014995574951,1732550836.339102
3,0.5078849792480469,1732550836.846987
8,0.5076191425323486,1732550837.3546062
3,0.5079047679901123,1732550837.862511
11,0.5076425075531006,1732550838.3701534
3,0.507533073425293,1732550838.8776865
9,0.5083534717559814,1732550839.38604
4,0.5079574584960938,1732550839.8939974
11,0.5077626705169678,1732550840.40176
15,0.5086939334869385,1732550840.910454
14,0.5078694820404053,1732550841.4183235
5,0.5076353549957275,1732550841.9259589
1,0.5314257144927979,1732550842.4573846
1,0.5083174705505371,1732550842.965702
4,0.5081362724304199,1732550843.4738383
6,0.5079541206359863,1732550843.9817924
49,0.5305373668670654,1732550844.5123298
3,0.5088555812835693,1732550845.0211854
1,0.5078485012054443,1732550845.529034
2,0.50783371925354,1732550846.0368676
2,0.5076150894165039,1732550846.5444827
4,0.5080282688140869,1732550847.052511
4,0.5071487426757812,1732550847.5596597
18,0.5079772472381592,1732550848.067637
3,0.5073847770690918,1732550848.5750217
2,0.5079779624938965,1732550849.0829997
3,0.5077643394470215,1732550849.590764
9,0.5078248977661133,1732550850.098589
5,0.5076117515563965,1732550850.6062007
3,0.5076320171356201,1732550851.1138327
9,0.5305626392364502,1732550851.6443954
9,0.5080506801605225,1732550852.152446
4,0.5093040466308594,1732550852.66175
2,0.5079302787780762,1732550853.1696804
6,0.5077633857727051,1732550853.6774437
3,0.5081474781036377,1732550854.1855912
10,0.5076477527618408,1732550854.693239
2,0.5079123973846436,1732550855.2011514
7,0.5077967643737793,1732550855.7089481
2,0.5077099800109863,1732550856.216658
2,0.5078792572021484,1732550856.7245374
14,0.5083982944488525,1732550857.2329357
17,0.5080180168151855,1732550857.7409537
7,0.507800817489624,1732550858.2487545
4,0.507735013961792,1732550858.7564895
6,0.5075840950012207,1732550859.2640736
5,0.5081286430358887,1732550859.7722023
1,0.5080554485321045,1732550860.2802577
5,0.5076079368591309,1732550860.7878656
4,0.5079519748687744,1732550861.2958176
