n_detections,time_diff,time_created
1,1.015371322631836,1732501117.275549
1,0.5329201221466064,1732501117.808469
0,0.5341918468475342,1732501118.342661
1,0.5059411525726318,1732501118.848602
2,0.5065667629241943,1732501119.3551688
1,0.5058059692382812,1732501119.8609748
1,0.505730390548706,1732501120.3667052
0,0.5054590702056885,1732501120.8721642
0,0.5055451393127441,1732501121.3777094
1,0.5057721138000488,1732501121.8834815
1,0.5333003997802734,1732501122.416782
0,0.5058329105377197,1732501122.9226148
0,0.5057604312896729,1732501123.4283752
1,0.5338840484619141,1732501123.9622593
0,0.5061960220336914,1732501124.4684553
1,0.5062060356140137,1732501124.9746614
0,0.5054774284362793,1732501125.4801388
2,0.5061688423156738,1732501125.9863076
0,0.5058214664459229,1732501126.492129
0,0.5328960418701172,1732501127.0250251
0,0.5057651996612549,1732501127.5307903
1,0.5332703590393066,1732501128.0640607
1,0.506159782409668,1732501128.5702205
0,0.5059595108032227,1732501129.07618
0,0.5054361820220947,1732501129.5816162
0,0.5057730674743652,1732501130.0873892
0,0.5052378177642822,1732501130.592627
0,0.5058178901672363,1732501131.098445
0,0.50606369972229,1732501131.6045086
0,0.5049455165863037,1732501132.1094542
0,0.5057599544525146,1732501132.615214
2,0.5058879852294922,1732501133.121102
2,0.5055794715881348,1732501133.6266816
0,0.5058534145355225,1732501134.132535
1,0.5059003829956055,1732501134.6384354
0,0.5056884288787842,1732501135.1441238
0,0.5054843425750732,1732501135.6496081
3,0.5059852600097656,1732501136.1555934
1,0.5055248737335205,1732501136.6611183
0,0.505814790725708,1732501137.166933
0,0.505640983581543,1732501137.672574
1,0.5059051513671875,1732501138.1784792
0,0.5055828094482422,1732501138.684062
0,0.5066285133361816,1732501139.1906905
1,0.5061695575714111,1732501139.69686
1,0.5058801174163818,1732501140.2027402
1,0.5056967735290527,1732501140.708437
1,0.5337967872619629,1732501141.2422338
0,0.5058441162109375,1732501141.7480779
0,0.5054552555084229,1732501142.2535331
0,0.5056793689727783,1732501142.7592125
0,0.5055885314941406,1732501143.264801
1,0.5058043003082275,1732501143.7706053
1,0.5063436031341553,1732501144.276949
0,0.5057961940765381,1732501144.7827451
1,0.5058717727661133,1732501145.288617
0,0.5061502456665039,1732501145.7947671
0,0.5058197975158691,1732501146.300587
1,0.5062556266784668,1732501146.8068426
0,0.5067732334136963,1732501147.3136158
0,0.5059123039245605,1732501147.819528
0,0.5057423114776611,1732501148.3252704
0,0.5338776111602783,1732501148.859148
0,0.5057187080383301,1732501149.3648667
0,0.5056209564208984,1732501149.8704877
0,0.5059041976928711,1732501150.376392
0,0.5328564643859863,1732501150.9092484
0,0.5057883262634277,1732501151.4150367
1,0.505840539932251,1732501151.9208772
0,0.5058503150939941,1732501152.4267275
0,0.5057053565979004,1732501152.932433
0,0.506051778793335,1732501153.4384847
0,0.5053253173828125,1732501153.94381
1,0.5060009956359863,1732501154.449811
1,0.5059702396392822,1732501154.9557812
0,0.5059933662414551,1732501155.4617746
0,0.5055694580078125,1732501155.967344
0,0.5057556629180908,1732501156.4730997
0,0.5057070255279541,1732501156.9788067
1,0.5061819553375244,1732501157.4849887
1,0.5333826541900635,1732501158.0183713
0,0.5053339004516602,1732501158.5237052
0,0.5064642429351807,1732501159.0301695
0,0.5057575702667236,1732501159.535927
1,0.5059196949005127,1732501160.0418468
0,0.505828857421875,1732501160.5476756
0,0.5057387351989746,1732501161.0534143
1,0.5059711933135986,1732501161.5593855
0,0.5058705806732178,1732501162.065256
0,0.5055909156799316,1732501162.570847
0,0.5055680274963379,1732501163.076415
0,0.5057933330535889,1732501163.5822084
0,0.5058112144470215,1732501164.0880196
1,0.5061149597167969,1732501164.5941346
0,0.5055398941040039,1732501165.0996745
0,0.505617618560791,1732501165.605292
1,0.5057880878448486,1732501166.1110802
1,0.5060205459594727,1732501166.6171007
1,0.5059497356414795,1732501167.1230505
1,0.5062484741210938,1732501167.629299
