n_detections,time_diff,time_created
5,1.0078623294830322,1732490936.3679383
4,0.5314421653747559,1732490936.8993804
2,0.5316243171691895,1732490937.4310048
4,0.5058128833770752,1732490937.9368176
5,0.5061929225921631,1732490938.4430106
19,0.5056025981903076,1732490938.9486132
4,0.5055007934570312,1732490939.454114
1,0.5057682991027832,1732490939.9598823
3,0.5055887699127197,1732490940.465471
1,0.5051944255828857,1732490940.9706655
1,0.5309255123138428,1732490941.501591
3,0.5059726238250732,1732490942.0075636
8,0.5059127807617188,1732490942.5134764
2,0.5313014984130859,1732490943.0447779
4,0.5061190128326416,1732490943.550897
1,0.5063855648040771,1732490944.0572824
12,0.5056376457214355,1732490944.56292
3,0.5058155059814453,1732490945.0687356
1,0.505864143371582,1732490945.5745997
6,0.5309009552001953,1732490946.1055007
6,0.5058293342590332,1732490946.61133
4,0.5324387550354004,1732490947.1437688
1,0.5059599876403809,1732490947.6497288
8,0.5060679912567139,1732490948.1557968
13,0.505652666091919,1732490948.6614494
2,0.5057599544525146,1732490949.1672094
2,0.5057790279388428,1732490949.6729884
32,0.5059442520141602,1732490950.1789327
19,0.5056962966918945,1732490950.684629
7,0.5053873062133789,1732490951.1900163
24,0.5058650970458984,1732490951.6958814
4,0.5055625438690186,1732490952.201444
50,0.5058131217956543,1732490952.707257
22,0.5058689117431641,1732490953.213126
10,0.5057134628295898,1732490953.7188394
3,0.5057897567749023,1732490954.2246292
5,0.5054841041564941,1732490954.7301133
10,0.5058038234710693,1732490955.235917
1,0.5053024291992188,1732490955.7412195
50,0.5060381889343262,1732490956.2472577
9,0.5057377815246582,1732490956.7529955
3,0.5059206485748291,1732490957.2589161
7,0.5055084228515625,1732490957.7644246
4,0.5068438053131104,1732490958.2712684
37,0.5057764053344727,1732490958.7770448
1,0.5058913230895996,1732490959.282936
4,0.5056288242340088,1732490959.788565
3,0.5308160781860352,1732490960.319381
24,0.5059325695037842,1732490960.8253136
2,0.505612850189209,1732490961.3309264
12,0.5055913925170898,1732490961.8365178
4,0.5059089660644531,1732490962.3424268
10,0.5057253837585449,1732490962.8481522
6,0.5058689117431641,1732490963.354021
9,0.5057210922241211,1732490963.8597422
2,0.505612850189209,1732490964.365355
10,0.5060322284698486,1732490964.8713872
10,0.5060858726501465,1732490965.377473
16,0.5058295726776123,1732490965.8833027
49,0.5066535472869873,1732490966.3899562
22,0.5058982372283936,1732490966.8958545
6,0.5055909156799316,1732490967.4014454
1,0.531177282333374,1732490967.9326227
3,0.5059804916381836,1732490968.4386032
6,0.505652666091919,1732490968.9442558
8,0.505911111831665,1732490969.450167
62,0.5308899879455566,1732490969.981057
5,0.5057399272918701,1732490970.4867969
2,0.5056560039520264,1732490970.9924529
2,0.5059335231781006,1732490971.4983864
5,0.5058712959289551,1732490972.0042577
5,0.5061936378479004,1732490972.5104513
6,0.5052297115325928,1732490973.015681
15,0.5057768821716309,1732490973.521458
3,0.5055117607116699,1732490974.0269697
2,0.5059196949005127,1732490974.5328894
4,0.5055150985717773,1732490975.0384045
8,0.5057446956634521,1732490975.5441492
7,0.5055727958679199,1732490976.049722
5,0.5056474208831787,1732490976.5553694
8,0.530864953994751,1732490977.0862343
11,0.5059435367584229,1732490977.5921779
4,0.5060317516326904,1732490978.0982096
2,0.5058383941650391,1732490978.604048
12,0.5056619644165039,1732490979.10971
3,0.5057158470153809,1732490979.6154258
16,0.5056142807006836,1732490980.12104
4,0.5057621002197266,1732490980.6268022
7,0.5058848857879639,1732490981.132687
2,0.5055663585662842,1732490981.6382535
3,0.5058023929595947,1732490982.1440558
29,0.5062921047210693,1732490982.650348
39,0.5057621002197266,1732490983.15611
12,0.5060489177703857,1732490983.662159
6,0.5056405067443848,1732490984.1677995
8,0.5056891441345215,1732490984.6734886
8,0.5060272216796875,1732490985.1795158
1,0.5059120655059814,1732490985.685428
5,0.5059888362884521,1732490986.1914167
3,0.5058350563049316,1732490986.6972518
