n_detections,time_diff,time_created
1,1.0438992977142334,1732566569.390687
1,0.5357816219329834,1732566569.9264686
1,0.5363481044769287,1732566570.4628167
1,0.5076098442077637,1732566570.9704266
2,0.508253812789917,1732566571.4786804
2,0.5076720714569092,1732566571.9863524
1,0.5076067447662354,1732566572.4939592
1,0.507742166519165,1732566573.0017014
0,0.5072975158691406,1732566573.5089989
1,0.507483959197998,1732566574.0164828
1,0.5351128578186035,1732566574.5515957
0,0.5079391002655029,1732566575.0595348
0,0.5078859329223633,1732566575.5674207
2,0.5353364944458008,1732566576.1027572
1,0.5083134174346924,1732566576.6110706
1,0.5084993839263916,1732566577.11957
0,0.5072450637817383,1732566577.626815
2,0.5082323551177979,1732566578.1350474
1,0.5078482627868652,1732566578.6428957
1,0.534818172454834,1732566579.1777139
0,0.5080556869506836,1732566579.6857696
1,0.5359244346618652,1732566580.221694
1,0.5083084106445312,1732566580.7300024
0,0.5076720714569092,1732566581.2376745
2,0.5075702667236328,1732566581.7452447
0,0.5078985691070557,1732566582.2531433
0,0.5073347091674805,1732566582.760478
0,0.5078103542327881,1732566583.2682884
0,0.507516622543335,1732566583.775805
0,0.5068113803863525,1732566584.2826164
0,0.5077414512634277,1732566584.7903578
2,0.507716178894043,1732566585.298074
3,0.507939338684082,1732566585.8060133
0,0.5074806213378906,1732566586.313494
1,0.5077872276306152,1732566586.8212812
0,0.5074501037597656,1732566587.3287313
2,0.5075409412384033,1732566587.8362722
1,0.5077428817749023,1732566588.3440151
1,0.5071179866790771,1732566588.851133
0,0.507685661315918,1732566589.3588188
0,0.5075044631958008,1732566589.8663232
2,0.5074810981750488,1732566590.3738043
1,0.5076210498809814,1732566590.8814254
0,0.5090789794921875,1732566591.3905044
1,0.5080571174621582,1732566591.8985615
1,0.508082389831543,1732566592.4066439
1,0.5076076984405518,1732566592.9142516
1,0.5356295108795166,1732566593.449881
0,0.5076966285705566,1732566593.9575777
0,0.507418155670166,1732566594.4649959
0,0.507270097732544,1732566594.972266
0,0.507622241973877,1732566595.4798882
2,0.5082275867462158,1732566595.9881158
1,0.5074558258056641,1732566596.4955716
1,0.5077226161956787,1732566597.0032942
1,0.5075254440307617,1732566597.5108197
1,0.5086302757263184,1732566598.01945
0,0.5075039863586426,1732566598.526954
1,0.5079748630523682,1732566599.0349288
0,0.5086991786956787,1732566599.543628
1,0.5083003044128418,1732566600.0519283
1,0.5078303813934326,1732566600.5597587
0,0.5354628562927246,1732566601.0952215
0,0.5077908039093018,1732566601.6030123
0,0.5075724124908447,1732566602.1105847
2,0.5079667568206787,1732566602.6185515
0,0.5351459980010986,1732566603.1536975
0,0.5078766345977783,1732566603.6615741
1,0.5078802108764648,1732566604.1694543
1,0.5082437992095947,1732566604.6776981
0,0.5077974796295166,1732566605.1854956
0,0.5078895092010498,1732566605.6933851
1,0.5076010227203369,1732566606.2009861
4,0.5078155994415283,1732566606.7088017
1,0.5075342655181885,1732566607.216336
2,0.5078582763671875,1732566607.7241943
0,0.507488489151001,1732566608.2316828
0,0.5075967311859131,1732566608.7392795
3,0.5077693462371826,1732566609.2470489
2,0.5077283382415771,1732566609.7547772
1,0.5354053974151611,1732566610.2901826
0,0.5076911449432373,1732566610.7978737
1,0.5088803768157959,1732566611.306754
0,0.5076820850372314,1732566611.8144362
1,0.5077173709869385,1732566612.3221536
1,0.5080611705780029,1732566612.8302147
0,0.5078692436218262,1732566613.338084
0,0.5076370239257812,1732566613.845721
0,0.5077483654022217,1732566614.3534694
0,0.5075864791870117,1732566614.8610559
1,0.5077927112579346,1732566615.3688486
0,0.5078232288360596,1732566615.8766718
0,0.507713794708252,1732566616.3843856
1,0.5080885887145996,1732566616.8924742
1,0.5077633857727051,1732566617.4002376
0,0.5073955059051514,1732566617.907633
1,0.5077333450317383,1732566618.4153664
1,0.5078167915344238,1732566618.9231832
2,0.5077440738677979,1732566619.4309273
1,0.5079965591430664,1732566619.9389238
