n_detections,time_diff,time_created
4,0.7752079963684082,1732518469.877724
4,0.5431859493255615,1732518470.42091
2,0.5403957366943359,1732518470.9613056
3,0.5391261577606201,1732518471.5004318
6,0.5383036136627197,1732518472.0387354
19,0.5385563373565674,1732518472.5772917
4,0.5388529300689697,1732518473.1161447
1,0.5379331111907959,1732518473.6540778
1,0.5387401580810547,1732518474.192818
1,0.5392224788665771,1732518474.7320404
1,0.5394599437713623,1732518475.2715003
1,0.5392663478851318,1732518475.8107667
9,0.5385949611663818,1732518476.3493617
2,0.5391652584075928,1732518476.888527
2,0.5386340618133545,1732518477.427161
1,0.5386962890625,1732518477.9658573
8,0.5394613742828369,1732518478.5053186
4,0.5383987426757812,1732518479.0437174
1,0.5393142700195312,1732518479.5830317
5,0.5385763645172119,1732518480.121608
4,0.5385031700134277,1732518480.6601112
3,0.5386359691619873,1732518481.1987472
1,0.5384457111358643,1732518481.7371929
2,0.5387771129608154,1732518482.27597
7,0.5385470390319824,1732518482.814517
2,0.5387387275695801,1732518483.3532557
1,0.5387077331542969,1732518483.8919635
17,0.5390341281890869,1732518484.4309976
18,0.538945198059082,1732518484.9699428
9,0.5379605293273926,1732518485.5079033
12,0.5385246276855469,1732518486.046428
2,0.5396440029144287,1732518486.586072
47,0.5385596752166748,1732518487.1246316
17,0.5389509201049805,1732518487.6635826
10,0.5386879444122314,1732518488.2022705
4,0.5385274887084961,1732518488.740798
6,0.5392701625823975,1732518489.2800682
14,0.5387678146362305,1732518489.818836
1,0.5385074615478516,1732518490.3573434
25,0.5386011600494385,1732518490.8959446
8,0.5388844013214111,1732518491.434829
2,0.5389769077301025,1732518491.973806
5,0.539914608001709,1732518492.5137205
3,0.5377497673034668,1732518493.0514703
20,0.5398273468017578,1732518493.5912976
1,0.5386998653411865,1732518494.1299975
3,0.5390806198120117,1732518494.669078
5,0.5386044979095459,1732518495.2076826
9,0.5386645793914795,1732518495.7463472
3,0.5395827293395996,1732518496.28593
10,0.5397741794586182,1732518496.825704
3,0.5396807193756104,1732518497.3653848
10,0.5386309623718262,1732518497.9040158
3,0.5387468338012695,1732518498.4427626
12,0.5387258529663086,1732518498.9814885
3,0.5389308929443359,1732518499.5204194
14,0.5389084815979004,1732518500.0593278
5,0.5397200584411621,1732518500.599048
13,0.5392026901245117,1732518501.1382506
15,0.5394086837768555,1732518501.6776593
17,0.5390849113464355,1732518502.2167442
5,0.5392322540283203,1732518502.7559764
1,0.538787841796875,1732518503.2947643
4,0.5388364791870117,1732518503.8336008
4,0.5388040542602539,1732518504.3724048
5,0.5388257503509521,1732518504.9112306
24,0.5386238098144531,1732518505.4498544
3,0.5389747619628906,1732518505.9888291
1,0.5397677421569824,1732518506.5285969
2,0.5391192436218262,1732518507.0677161
2,0.5389916896820068,1732518507.6067078
4,0.5393338203430176,1732518508.1460416
3,0.5395839214324951,1732518508.6856256
15,0.5389993190765381,1732518509.2246249
3,0.5394856929779053,1732518509.7641106
2,0.538672924041748,1732518510.3027835
4,0.5388422012329102,1732518510.8416257
6,0.5394351482391357,1732518511.3810608
6,0.539386510848999,1732518511.9204473
2,0.5389292240142822,1732518512.4593766
7,0.5388369560241699,1732518512.9982135
9,0.5388691425323486,1732518513.5370827
2,0.5391924381256104,1732518514.076275
3,0.538508415222168,1732518514.6147835
8,0.5388691425323486,1732518515.1536527
3,0.5390360355377197,1732518515.6926887
8,0.5389704704284668,1732518516.2316592
2,0.5389151573181152,1732518516.7705743
5,0.5384681224822998,1732518517.3090425
2,0.5386712551116943,1732518517.8477137
2,0.538752555847168,1732518518.3864663
17,0.5387043952941895,1732518518.9251707
20,0.5388326644897461,1732518519.4640033
4,0.5390276908874512,1732518520.003031
5,0.5391926765441895,1732518520.5422237
6,0.5392739772796631,1732518521.0814977
2,0.5393221378326416,1732518521.6208198
1,0.5386662483215332,1732518522.159486
3,0.5385787487030029,1732518522.6980648
3,0.5387516021728516,1732518523.2368164
